Stadium,Against Team,Innings,Batting Order Position,6's,Made 30+ runs
Bulawayo,v Zimbabwe,1,0,0,no
Bulawayo,v Zimbabwe,1,7,0,no
Harare,v Zimbabwe,1,5,0,no
Harare,v Zimbabwe,2,1,0,yes
Harare,v Zimbabwe,1,1,0,no
Paarl,v South Africa,1,1,0,yes
Cape Town,v South Africa,2,1,0,no
Multan,v Bangladesh,1,0,0,no
Faisalabad,v Bangladesh,1,8,1,no
Lahore,v Bangladesh,1,8,0,no
Rawalpindi,v Bangladesh,2,0,0,no
Karachi,v Bangladesh,1,0,0,no
Kolkata,v India,2,0,0,no
Kochi,v India,2,2,0,no
Visakhapatnam,v India,2,8,1,yes
Jamshedpur,v India,1,7,0,yes
Ahmedabad,v India,2,8,0,no
Kanpur,v India,2,0,0,no
Delhi,v India,1,8,0,no
Kingstown,v West Indies,1,8,0,no
Gros Islet,v West Indies,1,8,0,no
Gros Islet,v West Indies,1,7,3,no
Lahore,v England,2,2,0,no
Lahore,v England,2,2,1,yes
Karachi,v England,1,2,0,yes
Rawalpindi,v England,1,2,0,no
Rawalpindi,v England,2,2,0,no
Peshawar,v India,2,2,0,no
Rawalpindi,v India,1,2,0,no
Lahore,v India,1,3,0,yes
Multan,v India,1,1,0,no
Karachi,v India,1,1,0,no
Colombo (RPS),v Sri Lanka,1,2,0,no
Colombo (RPS),v Sri Lanka,2,8,0,no
Colombo (SSC),v Sri Lanka,2,8,0,no
Abu Dhabi,v India,2,6,0,no
Abu Dhabi,v India,2,7,0,no
Edinburgh,v Scotland,2,0,0,no
Cardiff,v England,2,0,0,no
Lord's,v England,2,0,0,no
Southampton,v England,2,8,0,no
Nottingham,v England,1,8,0,no
Birmingham,v England,1,8,0,no
Faisalabad,v West Indies,2,3,0,no
Lahore,v West Indies,2,3,0,no
Multan,v West Indies,1,8,0,no
Karachi,v West Indies,2,2,1,no
Centurion,v South Africa,2,2,0,no
Durban,v South Africa,1,2,0,no
Port Elizabeth,v South Africa,1,2,0,no
Cape Town,v South Africa,1,2,0,no
Johannesburg,v South Africa,1,4,0,no
Abu Dhabi,v Sri Lanka,2,6,0,yes
Abu Dhabi,v Sri Lanka,1,6,0,yes
Abu Dhabi,v Sri Lanka,2,7,0,no
